State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
"Andhra Pradesh",Prakasam,"Santhamaguluru APMC",Paddy(Common),"B P T",FAQ,23/09/2026,2500,2580,2550
"Andhra Pradesh",Prakasam,"Santhamaguluru APMC",Maize,Hybrid,FAQ,23/09/2026,2400,2480,2450
Tripura,Dhalai,"Kulai APMC","Indian Beans(Seam)",Other,"Grade B",23/09/2026,7500,8000,7700
Tripura,Dhalai,"Kulai APMC",Brinjal,Round/Long,"Grade B",23/09/2026,5500,6000,5700
Keralam,Wayanad,"Mananthavady Market",Rubber,Other,Local,23/09/2026,25600,25700,25700
"Madhya Pradesh",Sidhi,"Sidhi APMC",Wheat,"Mill Quality",Non-FAQ,23/09/2026,2360,2410,2400
Keralam,Idukki,"Kattappana Market",Brinjal,Other,Medium,23/09/2026,4300,4500,4500
Keralam,Idukki,"Kattappana Market",Cauliflower,Other,Medium,23/09/2026,4500,5000,4600
Keralam,Idukki,"Kattappana Market",Cowpea(Veg),Other,Medium,23/09/2026,5500,5800,5800
Keralam,Idukki,"Kattappana Market",Drumstick,Other,Medium,23/09/2026,4800,5500,5400
Keralam,Idukki,"Kattappana Market","Little gourd(Kundru)",Other,Medium,23/09/2026,4200,4500,4400
Keralam,Idukki,"Kattappana Market","French Beans(Frasbean)",Other,Medium,23/09/2026,6500,7800,7000
Keralam,Idukki,"Kattappana Market",Snakeguard,Other,Medium,23/09/2026,4200,4500,4500
Keralam,Idukki,"Kattappana Market","Sweet Potato",Other,Medium,23/09/2026,5400,5800,5500
Keralam,Idukki,"Kattappana Market",Apple,Other,"Grade A",23/09/2026,32000,34000,33000
Keralam,Idukki,"Kattappana Market",Apple,Other,Small,23/09/2026,12000,13000,12800
Haryana,Rewari,"Kosli APMC",Banana,Other,Medium,23/09/2026,2000,2000,2000
Punjab,Hoshiarpur,"GarhShankar (Kotfatuhi) APMC",Banana,Other,Medium,23/09/2026,3200,3200,3200
Punjab,Hoshiarpur,"GarhShankar (Kotfatuhi) APMC",Cucumbar(Kheera),Other,FAQ,23/09/2026,3000,3000,3000
Punjab,Ludhiana,"Khanna APMC","Bhindi(Ladies Finger)",Bhindi,"Grade A",23/09/2026,2500,2500,2500
Punjab,Ludhiana,"Khanna APMC",Potato,Local,"Grade A",23/09/2026,500,500,500
Punjab,Ludhiana,"Khanna APMC","Green Chilli","Green Chilly","Grade A",23/09/2026,1500,1500,1500
Punjab,Ludhiana,"Khanna APMC",Tomato,Tomato,"Grade A",23/09/2026,2500,2500,2500
Keralam,Kottayam,"Kottayam Market","Black Gram(Urd Beans)(Whole)","Black Gram (Whole)",FAQ,23/09/2026,11200,13600,12400
"Tamil Nadu",Thirupur,"Tiruppur (South) (Uzhavar Sandhai )","Bitter gourd",Other,Local,23/09/2026,5000,6000,5500
"Tamil Nadu",Thirupur,"Tiruppur (South) (Uzhavar Sandhai )",Tapioca,Tapioca,Local,23/09/2026,2500,3000,2750
"Tamil Nadu",Thirupur,"Tiruppur (South) (Uzhavar Sandhai )",Cabbage,Cabbage,Local,23/09/2026,2500,3000,2750
"Tamil Nadu",Thirupur,"Tiruppur (South) (Uzhavar Sandhai )","Amla(Nelli Kai)",Amla,Local,23/09/2026,7000,8000,7500
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Chikoos(Sapota),Sapota,Local,23/09/2026,3600,4000,3800
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )","Bottle gourd","Bottle Gourd",Local,23/09/2026,1500,1800,1650
"Tamil Nadu",Erode,"Perundurai(Uzhavar Sandhai )",Raddish,Raddish,Local,23/09/2026,2600,3000,2800
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Cauliflower,Ranchi,Local,23/09/2026,3300,3500,3400
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )","Bitter gourd","Bitter Gourd",Local,23/09/2026,2800,3000,2900
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Cowpea(Veg),"Cowpea (Veg)",Local,23/09/2026,5200,5500,5350
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )","Banana - Green","Banana - Green",Local,23/09/2026,3000,3200,3100
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Coconut,Coconut,Local,23/09/2026,7000,7400,7200
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )","Chow Chow","Chow Chow",Local,23/09/2026,3700,4000,3850
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )","Elephant Yam(Suran)/Amorphophallus","Elephant Yam (Suran)",Local,23/09/2026,6200,6400,6300
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Colacasia,Colacasia,Local,23/09/2026,6200,6600,6400
"Tamil Nadu",Dharmapuri,"Dharmapuri(Uzhavar Sandhai )",Mint(Pudina),Mint(Pudina),Local,23/09/2026,7500,8000,7750
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Onion,Bellary,Local,23/09/2026,6000,6400,6200
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Brinjal,Other,Local,23/09/2026,2200,2600,2400
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Coriander(Leaves),"I Sort",Local,23/09/2026,4600,5000,4800
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )","Bitter gourd",Other,Local,23/09/2026,4000,4200,4100
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Cabbage,Cabbage,Local,23/09/2026,2600,3000,2800
"Tamil Nadu",Dharmapuri,"Palacode(Uzhavar Sandhai )",Beetroot,Beetroot,Local,23/09/2026,4500,5000,4750
